
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
PF
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs IND	-0.86	-1.05	-1.79	-0.21	-0.40	-1.03	-1.02	-1.02	-1.22

Settings

NBA 25-26

Past 2 Weeks
Ease for Selected Position 
C
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs MEM	1.07	2.46	3.05	-0.42	0.11	1.17	0.39	2.81	-0.04
vs CHI	0.95	2.39	1.64	-0.81	1.44	0.46	0.24	1.76	1.70
vs POR	0.56	0.24	0.70	-1.10	1.08	-0.21	2.30	0.59	0.44
vs SAS	0.44	0.93	1.33	0.51	0.54	-1.30	1.24	0.48	0.39
vs LAC	0.33	0.47	0.58	0.25	0.63	0.78	-0.34	-0.08	0.59
vs GSW	0.31	0.20	0.26	1.01	2.00	-0.70	0.29	0.70	-0.48
vs DEN	0.28	0.91	0.63	0.78	-0.59	-0.95	-0.48	1.09	1.38
vs BOS	0.26	0.21	0.91	-0.42	-0.56	-0.85	-0.55	0.51	1.60
vs ATL	0.25	0.28	-0.10	2.09	-0.01	-0.01	0.07	0.85	-0.13
vs BKN	0.18	-0.41	-0.63	0.15	0.83	1.01	-0.32	0.05	0.82
vs SAC	0.17	1.09	0.52	0.85	-1.81	1.57	1.18	-0.32	-0.23
vs DAL	0.16	-0.55	-0.76	2.59	-1.49	1.77	1.51	-0.84	-0.26
vs CLE	0.12	0.11	0.68	-0.87	0.91	0.74	-0.39	0.56	-0.60
vs PHO	0.09	0.36	0.30	1.08	0.38	-0.08	-1.58	0.26	0.29
vs WAS	0.07	-0.03	-0.76	0.15	0.99	-1.34	1.23	-0.54	0.79
vs NOR	0.04	-0.28	-0.79	0.85	0.15	0.29	1.07	-1.11	0.07
vs CHA	-0.04	-0.22	0.10	-0.59	-0.34	-1.00	-0.19	0.72	0.50
vs NYK	-0.05	0.19	-0.11	0.37	-1.43	-0.97	0.86	-0.10	0.94
vs UTA	-0.09	0.94	0.42	0.32	-0.24	-1.66	0.25	0.91	-1.01
vs MIN	-0.09	-0.25	0.37	0.09	-0.41	0.01	-1.38	0.00	0.32
vs ORL	-0.12	-0.67	-0.80	-0.72	-0.63	1.41	0.99	-0.33	0.26
vs PHI	-0.18	-0.72	-0.43	-0.78	-0.07	0.42	0.11	-0.56	-2.00
vs MIL	-0.26	-1.34	-0.78	-1.23	1.36	-1.00	-0.85	-0.32	0.39
vs MIA	-0.30	0.43	0.01	0.52	-0.56	0.39	-0.91	-0.55	-1.90
vs HOU	-0.31	-1.80	-1.25	-1.10	1.28	1.36	-0.74	-2.35	0.98
vs OKC	-0.33	-0.68	-0.93	0.66	0.02	0.11	-0.82	-0.98	-0.13
vs LAL	-0.41	-0.85	-0.78	-0.53	-0.60	0.78	-1.13	-0.18	-0.74
vs TOR	-0.79	-1.95	-1.52	-0.99	-1.90	0.17	0.17	-1.42	-0.13
vs DET	-0.86	-0.58	-0.14	-1.00	-1.28	-1.75	-0.14	-0.73	-2.00
vs IND	-1.44	-0.86	-1.72	-1.71	0.20	-0.61	-2.07	-0.90	-1.78

NBA 25-26

Full Season
Ease for Selected Position 
C
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs CHI	1.36	2.02	1.82	0.81	1.41	0.90	1.33	2.34	1.80
vs WAS	1.03	1.83	0.74	2.65	1.33	-0.31	1.63	0.90	0.63
vs POR	0.72	1.81	1.31	-0.71	0.74	0.70	2.78	0.77	-0.71
vs MEM	0.63	0.09	1.21	0.14	1.85	0.30	-0.02	-0.63	0.02
vs CHA	0.57	0.69	1.07	-1.40	0.95	-0.63	0.30	1.28	0.28
vs DEN	0.57	0.81	0.93	-0.39	-0.58	-0.59	-1.03	1.38	1.77
vs UTA	0.50	1.24	1.36	0.00	0.21	-0.70	1.29	0.51	0.75
vs SAC	0.27	0.37	-0.63	0.76	-1.04	1.64	0.97	0.12	0.44
vs DAL	0.12	0.23	-0.37	0.35	0.09	0.92	0.15	-0.84	0.71
vs CLE	0.11	-0.21	-0.24	0.86	0.78	2.85	-0.42	-0.28	-2.19
vs LAC	0.10	0.06	0.36	-0.69	-0.60	1.06	-0.82	0.33	1.36
vs BKN	0.04	0.04	-0.63	0.02	-0.85	0.23	-0.24	1.38	0.63
vs NOR	0.02	-0.01	-0.33	0.85	1.47	-0.09	1.15	-1.08	0.06
vs BOS	0.00	1.02	1.34	-0.41	-0.45	-2.06	-0.68	1.20	0.17
vs SAS	-0.06	0.21	0.36	-0.24	1.15	-0.92	-0.30	-1.13	0.50
vs NYK	-0.13	0.01	0.65	0.72	-2.09	-1.22	-0.50	1.05	0.40
vs PHI	-0.14	0.07	-0.14	0.45	-0.83	0.27	0.39	-0.70	-0.57
vs MIN	-0.15	0.66	0.48	-0.73	-0.63	-0.35	-0.82	0.68	-0.42
vs GSW	-0.17	-1.02	-0.48	0.83	1.20	-0.69	-0.60	-0.68	0.06
vs PHO	-0.24	-0.88	-0.60	0.44	0.54	0.37	0.03	-0.38	-1.52
vs OKC	-0.27	0.25	0.81	-0.16	-0.37	-0.33	-1.30	0.36	-1.48
vs DET	-0.27	-0.61	0.27	-1.09	-1.29	1.10	0.61	0.28	-1.52
vs MIL	-0.29	-0.61	-0.39	-0.75	0.07	-0.28	-1.58	0.26	0.83
vs ATL	-0.40	-1.28	-1.47	0.61	1.01	-0.17	-0.38	-1.51	-0.27
vs MIA	-0.44	-0.53	-0.54	1.44	-0.49	-0.04	0.00	-1.14	-0.94
vs IND	-0.62	-0.35	-1.64	0.18	-0.25	-1.53	-0.91	-0.97	0.04
vs HOU	-0.62	-0.93	-0.61	-2.60	-0.55	-0.11	-0.81	-1.29	1.47
vs TOR	-0.71	-1.64	-1.49	0.13	-1.22	-0.66	-0.02	-0.68	-0.67
vs LAL	-0.72	-1.72	-1.24	-1.55	-0.52	1.10	-1.25	-0.27	-0.89
vs ORL	-0.78	-1.62	-1.89	-0.51	-1.07	-0.77	1.04	-1.26	-0.74
