
Settings

NBA 25-26

Past 1 Week
Ease for Selected Position 
All
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs SAC	0.34	0.69	-0.31	-0.67	0.80	0.85	-0.25	1.09	0.44
vs MIL	0.33	-0.13	0.20	0.62	-0.80	0.09	1.22	-0.58	2.00
vs CHA	0.28	0.08	-0.02	-1.52	0.75	1.79	-0.30	-0.16	1.49
vs NOR	0.21	0.72	1.18	-1.96	-1.20	1.56	0.33	1.21	-0.32
vs CLE	0.16	0.54	1.02	-1.19	0.02	-0.48	0.97	-0.05	0.26
vs LAC	0.12	-0.31	-0.25	0.35	0.21	1.23	-0.33	-0.34	0.11
vs SAS	0.11	-0.24	-0.89	2.27	-1.77	0.90	0.90	-0.59	0.07
vs TOR	0.07	0.27	-0.61	0.23	-0.56	-0.81	0.09	0.07	1.60
vs BKN	0.02	-1.19	-0.55	0.99	1.43	-1.06	0.20	-0.24	0.19
vs MEM	-0.04	-0.73	-0.41	-0.19	1.16	-1.27	0.73	-0.76	0.69
vs NYK	-0.04	0.91	0.97	-0.70	0.17	-1.23	1.22	1.07	-0.25
vs CHI	-0.04	-0.54	-0.33	-0.10	0.73	0.76	-1.05	-0.29	0.04
vs PHI	-0.10	1.83	1.10	-0.03	-1.30	-0.08	-1.97	0.48	-1.30
vs OKC	-0.13	0.29	0.90	-0.78	0.78	-2.05	-1.38	1.01	-0.29
vs GSW	-0.16	-0.14	-0.22	-0.13	0.70	-0.20	-1.41	0.59	-0.95
vs WAS	-0.16	-1.73	-1.47	1.64	1.53	0.76	0.11	-1.42	-1.27
vs MIN	-0.19	-0.47	-0.71	0.01	0.37	-0.09	-0.41	-0.76	0.00
vs DEN	-0.19	-1.28	-0.72	0.69	-0.77	-0.46	1.40	-1.10	0.11
vs ATL	-0.25	-0.33	-0.36	-0.29	0.11	-0.58	0.29	-0.06	-1.44
vs ORL	-0.28	0.11	0.54	-0.45	-1.91	-0.56	0.23	0.98	1.14
vs LAL	-0.35	-0.07	-0.67	-0.81	-0.30	0.48	-0.99	-1.10	-0.04
vs DAL	-0.51	-0.97	-1.02	-0.82	-0.75	0.97	0.18	-0.76	0.50
vs PHO	-0.72	0.50	0.55	-0.57	-0.67	-1.06	-1.45	0.80	-1.74
vs DET	-1.08	-2.06	-2.38	1.65	-1.24	0.27	-1.83	-2.39	-2.12

Full Season
Ease for Selected Position 
PG
vs Team	Value	pV	3V	rV	aV	sV	bV	fg%V	toV
vs UTA	1.08	1.38	1.85	0.02	1.25	0.79	3.27	0.87	0.54
vs WAS	0.65	0.94	0.82	0.51	1.23	1.27	0.41	-0.63	1.53
vs GSW	0.58	1.13	0.42	-0.23	-1.57	0.27	1.17	1.54	-0.24
vs CHA	0.47	1.06	0.47	-0.40	0.07	0.90	-0.81	1.45	1.68
vs SAS	0.45	0.88	0.20	1.17	-0.38	0.27	-0.13	1.07	1.17
vs CHI	0.38	-0.11	0.11	0.34	-0.16	0.53	-0.98	-0.19	1.09
vs CLE	0.31	1.89	1.94	-1.01	0.66	-0.36	-0.70	0.61	-0.05
vs POR	0.25	-0.19	-0.61	0.14	0.21	1.98	-0.21	0.73	0.42
vs MEM	0.19	0.73	1.25	0.87	0.25	-1.08	-0.93	1.08	-0.28
vs MIL	0.18	0.41	0.03	0.63	0.52	0.00	-0.22	0.07	0.39
vs MIA	0.18	0.43	0.95	1.91	0.98	-0.31	0.86	-1.86	-1.15
vs SAC	0.07	-0.90	-1.01	-0.26	0.78	1.51	0.39	0.52	-0.22
vs LAL	0.03	0.33	0.23	-2.14	1.05	1.72	-1.22	0.94	-0.40
vs DEN	0.01	-0.36	-0.71	-0.35	-0.31	-1.29	1.65	-0.32	1.96
vs BOS	0.00	-0.70	1.29	-0.02	1.30	-2.04	-0.83	0.69	0.47
vs NYK	-0.07	0.43	0.77	-1.97	-0.10	-1.47	0.37	1.01	0.54
vs IND	-0.08	0.61	-1.33	1.44	-0.95	-0.82	0.03	0.17	0.33
vs ATL	-0.08	-0.78	-0.21	0.38	0.67	-0.15	0.35	0.37	-1.18
vs LAC	-0.14	-0.84	-0.10	0.80	0.49	-0.01	0.08	-0.32	0.21
